producto_normalizado,marketplace,url_producto,titulo_detectado,imagen_url,imagen_local,estado_extraccion
Esponja facial de celulosa 12 piezas,Amazon,https://www.amazon.com.mx/Esponja-Facial-Celulosa-Blanco-Piezas/dp/B08BBN4M6Z,Frotash Esponja Facial de Celulosa Color Blanco 12 Piezas : Amazon.com.mx: Belleza,https://m.media-amazon.com/images/I/51lUO4t-G0L._AC_SL1334_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\esponja-facial-de-celulosa-12-piezas.jpg,ok
Agua peptonada amortiguada 450 g McdLab,Mercado Libre,https://www.mercadolibre.com.mx/agua-peptonada-amortiguada-450g-mcdlab/up/MLMU3964772769,"Agua Peptonada Amortiguada 450g Mcdlab - $ 1,042.74",https://http2.mlstatic.com/D_NQ_NP_604807-MLM111754249483_052026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\agua-peptonada-amortiguada-450-g-mcdlab.jpg,ok
Tablet uso rudo HOTWAV,Amazon,https://www.amazon.com.mx/HOTWAV-10800mAh-Pantalla-Resistente-Octa-Core/dp/B0DKB9WF1Z,"HOTWAV R8 Rugged Tableta, 10800mAh Batería, 10.1&quot;HD+ Pantalla, 12GB + 128GB/TF 1TB Tablet Resistente, Android 14 Tablet, 13 MP + 5 MP, Octa-Core/Dual SIM 4G/5G WiFi/IP68&amp;IP69K/Face ID/GPS/OTG Naranja : Amazon.com.mx: Electrónicos",https://m.media-amazon.com/images/I/71fbf2t3OjL._AC_SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\tablet-uso-rudo-hotwav.jpg,ok
Autoclave esterilizador 24 L,Mercado Libre,https://www.mercadolibre.com.mx/autoclave-esterilizador-24-lts-vapor-alta-presion/up/MLMU475866104,"Autoclave Esterilizador 24 Lts Vapor Alta Presión - $ 10,136.5",https://http2.mlstatic.com/D_NQ_NP_768894-MLM109888939337_032026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\autoclave-esterilizador-24-l.jpg,ok
Rack de puntas amarillas estériles,Amazon,https://www.amazon.com.mx/Extragene-universales-est%C3%A9riles-pir%C3%B3geno-estantes/dp/B085R8KV4Q,"Extragene Puntas de pipeta universales de 200 ul, esterilizadas, seguras para DNase/RNase y pirógenos, 96 puntas/anaqueles, paquete de 10 anaqueles (Amarillo) : Amazon.com.mx: Industria, Empresas y Ciencia",https://m.media-amazon.com/images/I/81f2D+RWbSL._SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\rack-de-puntas-amarillas-est-riles.jpg,ok
Placas Petri plásticas 60 x 15 mm,Mercado Libre,https://www.mercadolibre.com.mx/paquete-de-30-placas-de-petri-de-plastico-de-60-x-15-mm-con/p/MLM2037451798,Paquete De 30 Placas De Petri De Plástico De 60 X 15 Mm Con Transparent - $ 127.56,https://http2.mlstatic.com/D_NQ_NP_613547-CBT115109229507_072026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\placas-petri-pl-sticas-60-x-15-mm.jpg,ok
Mechero o lámpara de alcohol de vidrio,Mercado Libre,https://www.mercadolibre.com.mx/mechero-lampara-de-alcohol-de-vidrio/up/MLMU467349896,Mechero Lámpara De Alcohol De Vidrio - $ 147.44,https://http2.mlstatic.com/D_NQ_NP_618017-MLM93939002834_102025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\mechero-o-l-mpara-de-alcohol-de-vidrio.jpg,ok
Varilla agitadora magnética,Mercado Libre,https://www.mercadolibre.com.mx/varilla-agitadora-magnetica-agitador-reciclador-quimica/p/MLM2049711735,"Varilla Agitadora Magnética, Agitador, Reciclador, Química D - $ 51.66",https://http2.mlstatic.com/D_NQ_NP_616056-CBT100119914944_122025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\varilla-agitadora-magn-tica.jpg,ok
Tarjeta microSD SanDisk para cámaras,Amazon,https://www.amazon.com.mx/SanDisk-ultraAndroid-microSDXC-Adaptador-Smartphones/dp/B0B7NTY2S6,"SanDisk Tarjeta de Memoria Ultra microSDXC UHS-I de 128 GB con Adaptador - hasta 140 MB/s, C10, U1, Full HD, A1, Tarjeta MicroSD - SDSQUAB-128G-GN6MA : Amazon.com.mx: Electrónicos",https://m.media-amazon.com/images/I/71HMMAm+TlL._AC_SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\tarjeta-microsd-sandisk-para-c-maras.jpg,ok
Báscula de precisión Rhino,Amazon,https://www.amazon.com.mx/Precisi%C3%B3n-RHINO-Inoxidable-Est%C3%A1ndar-Incluidas/dp/B09QH9RLMB,"RHINO, Báscula de Precisión, 1kg / 0.1g Precisión, Acero Inoxidable, Función de Conteo de piezas, Pesaje Estándar y TARA, Pesa en gramos, libras y onzas, Diseño Compacto, Baterías Incluidas, BAPRE-1 : Amazon.com.mx: Salud y Cuidado Personal",https://m.media-amazon.com/images/I/61yiD5NApSL._SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\b-scula-de-precisi-n-rhino.jpg,ok
